InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,PROD_009,SET OF 2 TEA TOWELS,8,2023-09-28 15:00:00,2.5,13205,UK
536365,PROD_007,SET OF 3 REGENCY TEA TOWELS,8,2023-09-28 15:00:00,3.25,13205,France
536365,PROD_012,PAPK OF 12 VINTAGE TICKETS,6,2023-09-28 15:00:00,0.85,13205,UK
536366,PROD_011,ALARM CLOCK BAKELIKE GREEN,6,2023-10-21 09:00:00,3.75,14736,UK
536367,PROD_014,WOODEN PICTURE FRAME WHITE,3,2023-02-18 17:00:00,4.5,15249,UK
536368,PROD_008,ROSES REGENCY TEACUP AND SAUCER,7,2023-11-16 16:00:00,5.95,13612,UK
536369,PROD_010,ALARM CLOCK BAKELIKE RED,4,2023-11-12 09:00:00,3.75,12945,UK
536369,PROD_011,ALARM CLOCK BAKELIKE GREEN,7,2023-11-12 09:00:00,3.75,12945,France
536370,PROD_001,SET OF 6 SPACEBOY CD,6,2023-02-04 08:00:00,3.95,13120,UK
536371,PROD_003,JUMBO BAG RED RETROSPOT,8,2023-11-06 09:00:00,1.85,16188,UK
536371,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,9,2023-11-06 09:00:00,2.1,16188,USA
536371,PROD_015,SMALL POPCORN HOLDER,5,2023-11-06 09:00:00,1.25,16188,UK
536371,PROD_014,WOODEN PICTURE FRAME WHITE,2,2023-11-06 09:00:00,4.5,16188,UK
536372,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,9,2023-08-05 16:00:00,0.55,17232,Germany
536373,PROD_007,SET OF 3 REGENCY TEA TOWELS,3,2023-05-16 15:00:00,3.25,14372,Germany
536374,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,8,2023-09-18 17:00:00,2.95,16819,UK
536374,PROD_002,REGENCY CAKESTAND 3 TIER,1,2023-09-18 17:00:00,12.75,16819,UK
536375,PROD_002,REGENCY CAKESTAND 3 TIER,5,2023-03-03 15:00:00,12.75,14799,USA
536375,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-03-03 15:00:00,2.95,14799,Germany
536375,PROD_002,REGENCY CAKESTAND 3 TIER,7,2023-03-03 15:00:00,12.75,14799,Germany
536376,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,3,2023-10-10 16:00:00,1.69,13215,UK
536376,PROD_018,HEART OF WICKER SMALL,7,2023-10-10 16:00:00,1.25,13215,UK
536376,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,4,2023-10-10 16:00:00,2.1,13215,Australia
536377,PROD_018,HEART OF WICKER SMALL,4,2023-08-25 11:00:00,1.25,18719,Australia
536377,PROD_001,SET OF 6 SPACEBOY CD,7,2023-08-25 11:00:00,3.95,18719,Australia
536377,PROD_009,SET OF 2 TEA TOWELS,7,2023-08-25 11:00:00,2.5,18719,Australia
536377,PROD_012,PAPK OF 12 VINTAGE TICKETS,1,2023-08-25 11:00:00,0.85,18719,UK
536377,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,9,2023-08-25 11:00:00,1.69,18719,Germany
536378,PROD_004,LUNCH BAG VINTAGE DOILY,1,2023-09-16 14:00:00,1.65,18209,UK
536379,PROD_019,STRAWBERRY SHOPPING TROLLEY,1,2023-06-01 13:00:00,2.95,17124,UK
536380,PROD_016,SET OF 4 KNICK KNACK TINS,1,2023-02-21 14:00:00,5.95,18930,USA
536380,PROD_016,SET OF 4 KNICK KNACK TINS,6,2023-02-21 14:00:00,5.95,18930,UK
536381,PROD_011,ALARM CLOCK BAKELIKE GREEN,6,2023-08-13 08:00:00,3.75,18200,UK
536382,PROD_004,LUNCH BAG VINTAGE DOILY,4,2023-07-22 15:00:00,1.65,17276,USA
536383,PROD_015,SMALL POPCORN HOLDER,3,2023-08-28 08:00:00,1.25,14275,UK
536384,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,8,2023-12-12 10:00:00,0.55,18396,UK
536384,PROD_019,STRAWBERRY SHOPPING TROLLEY,2,2023-12-12 10:00:00,2.95,18396,Germany
536384,PROD_008,ROSES REGENCY TEACUP AND SAUCER,9,2023-12-12 10:00:00,5.95,18396,UK
536384,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,7,2023-12-12 10:00:00,2.95,18396,UK
536385,PROD_019,STRAWBERRY SHOPPING TROLLEY,1,2023-04-09 14:00:00,2.95,15714,UK
536385,PROD_016,SET OF 4 KNICK KNACK TINS,5,2023-04-09 14:00:00,5.95,15714,Australia
536385,PROD_001,SET OF 6 SPACEBOY CD,7,2023-04-09 14:00:00,3.95,15714,UK
536386,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,8,2023-05-27 10:00:00,2.95,15515,Germany
536386,PROD_019,STRAWBERRY SHOPPING TROLLEY,8,2023-05-27 10:00:00,2.95,15515,France
536386,PROD_010,ALARM CLOCK BAKELIKE RED,3,2023-05-27 10:00:00,3.75,15515,UK
536386,PROD_016,SET OF 4 KNICK KNACK TINS,9,2023-05-27 10:00:00,5.95,15515,France
536387,PROD_008,ROSES REGENCY TEACUP AND SAUCER,4,2023-12-04 09:00:00,5.95,18325,UK
536387,PROD_003,JUMBO BAG RED RETROSPOT,5,2023-12-04 09:00:00,1.85,18325,UK
536387,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,8,2023-12-04 09:00:00,2.95,18325,France
536388,PROD_018,HEART OF WICKER SMALL,6,2023-07-14 08:00:00,1.25,17599,USA
536388,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,3,2023-07-14 08:00:00,2.1,17599,Australia
536389,PROD_014,WOODEN PICTURE FRAME WHITE,5,2023-01-27 09:00:00,4.5,15699,UK
536389,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,3,2023-01-27 09:00:00,2.95,15699,UK
536390,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,8,2023-02-18 08:00:00,2.1,17656,UK
536390,PROD_005,ASSORTED COLOUR BIRD ORNAMENT,5,2023-02-18 08:00:00,1.69,17656,UK
536390,PROD_002,REGENCY CAKESTAND 3 TIER,1,2023-02-18 08:00:00,12.75,17656,UK
536390,PROD_008,ROSES REGENCY TEACUP AND SAUCER,5,2023-02-18 08:00:00,5.95,17656,UK
536390,PROD_004,LUNCH BAG VINTAGE DOILY,1,2023-02-18 08:00:00,1.65,17656,UK
536391,PROD_002,REGENCY CAKESTAND 3 TIER,8,2023-01-18 16:00:00,12.75,12472,UK
536391,PROD_007,SET OF 3 REGENCY TEA TOWELS,6,2023-01-18 16:00:00,3.25,12472,UK
536392,PROD_015,SMALL POPCORN HOLDER,7,2023-09-30 15:00:00,1.25,12499,UK
536392,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,2,2023-09-30 15:00:00,0.55,12499,Australia
536392,PROD_009,SET OF 2 TEA TOWELS,7,2023-09-30 15:00:00,2.5,12499,UK
536393,PROD_013,PACK OF 20 SKULL PAPER NAPKINS,3,2023-01-20 08:00:00,2.1,17125,UK
536394,PROD_018,HEART OF WICKER SMALL,4,2023-12-20 09:00:00,1.25,17556,UK
536394,PROD_016,SET OF 4 KNICK KNACK TINS,6,2023-12-20 09:00:00,5.95,17556,UK
536395,PROD_006,PACK OF 72 RETROSPOT CAKE CASES,4,2023-09-21 12:00:00,0.55,15005,Australia
536396,PROD_012,PAPK OF 12 VINTAGE TICKETS,3,2023-12-16 10:00:00,0.85,13336,Germany
536396,PROD_017,SET OF 4 PANTRY JARS,3,2023-12-16 10:00:00,6.35,13336,UK
536396,PROD_009,SET OF 2 TEA TOWELS,7,2023-12-16 10:00:00,2.5,13336,UK
536397,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-11-14 14:00:00,2.95,12461,UK
536397,PROD_000,WHITE HANGING HEART T-LIGHT HOLDER,6,2023-11-14 14:00:00,2.95,12461,France
536398,PROD_004,LUNCH BAG VINTAGE DOILY,3,2023-08-25 12:00:00,1.65,16928,Germany
536398,PROD_002,REGENCY CAKESTAND 3 TIER,9,2023-08-25 12:00:00,12.75,16928,UK
536398,PROD_011,ALARM CLOCK BAKELIKE GREEN,5,2023-08-25 12:00:00,3.75,16928,UK
536399,PROD_015,SMALL POPCORN HOLDER,5,2023-08-26 11:00:00,1.25,14486,UK
536400,PROD_004,LUNCH BAG VINTAGE DOILY,2,2023-09-11 12:00:00,1.65,17753,UK
